ccode1,ccode2,capdist,iso_o,iso_d
110,490,8260.455553100159,GUY,COD
110,950,13821.16540864684,GUY,FJI
110,481,7543.472218196448,GUY,GAB
110,565,8809.842115039222,GUY,NAM
110,920,13535.5770201602,GUY,NZL
110,580,11910.705983190466,GUY,MDG
110,590,12956.697090242667,GUY,MUS
110,591,12688.518743180583,GUY,SYC
110,860,19529.390844118596,GUY,TLS
110,900,15810.032138197086,GUY,AUS
110,970,14970.942632782055,GUY,NRU
110,910,17244.32384623743,GUY,PNG
110,940,15818.46165342731,GUY,SLB
110,947,13728.207740507205,GUY,TUV
110,935,14879.507785493006,GUY,VUT
110,20,4601.273528170756,GUY,CAN
110,255,8168.858407223642,GUY,DEU
110,713,16481.545003083655,GUY,TWN
110,710,14796.461178616204,GUY,CHN
110,820,17569.791241299114,GUY,MYS
110,830,17861.018254406332,GUY,SGP
110,850,18398.568524821098,GUY,IDN
110,620,7867.2038240315205,GUY,LBY
110,483,8065.525545176749,GUY,TCD
110,666,9941.596058602656,GUY,ISR
110,652,10015.132064294074,GUY,SYR
110,651,9586.72598817594,GUY,EGY
110,750,13840.495140850728,GUY,IND
110,341,8474.81724853416,GUY,MNE
110,347,8632.106418388492,GUY,KOS
110,345,8586.419451942033,GUY,SRB
110,2,4025.4497438831,GUY,USA
110,510,10532.203369831199,GUY,TZA
110,600,6065.998772552448,GUY,MAR
110,435,4742.346583098959,GUY,MRT
110,625,9894.553269366741,GUY,SDN
110,626,9933.15865799188,GUY,SSD
115,110,348.7282323594698,SUR,GUY
115,115,0,SUR,SUR
115,52,874.7906241653642,SUR,TTO
115,101,1388.3862807722496,SUR,VEN
115,990,13064.431088697105,SUR,WSM
115,955,13339.241849175098,SUR,TON
115,160,4490.330648405331,SUR,ARG
115,145,2854.8330399450333,SUR,BOL
115,140,2524.210484845374,SUR,BRA
115,155,4650.353162575718,SUR,CHL
115,130,2674.4178180522035,SUR,ECU
115,150,3454.9142131425137,SUR,PRY
115,135,3123.4724324301383,SUR,PER
115,165,4509.739244482143,SUR,URY
115,90,3981.8314477220524,SUR,GTM
115,70,4983.020115463537,SUR,MEX
115,53,937.5994125134926,SUR,BRB
115,54,1247.2970662476507,SUR,DMA
115,55,999.5085798053587,SUR,GRD
115,56,1104.430879302608,SUR,LCA
115,57,1044.637592374486,SUR,VCT
115,42,2121.4894740859995,SUR,DOM
115,41,2328.415155316506,SUR,HTI
115,51,2705.877657642727,SUR,JAM
115,31,3176.892905532206,SUR,BHS
115,80,3868.1379704397204,SUR,BLZ
115,100,2099.5953492827366,SUR,COL
115,94,3217.6683280293105,SUR,CRI
115,40,3488.988661848059,SUR,CUB
115,92,3825.9540348466858,SUR,SLV
115,91,3621.4052714148224,SUR,HND
115,93,3487.5554558471395,SUR,NIC
115,95,2704.285029245884,SUR,PAN
115,58,1445.8074378438457,SUR,ATG
115,60,1508.5207059032898,SUR,KNA
115,395,6995.293025236523,SUR,ISL
115,205,6872.205069910719,SUR,IRL
115,200,7143.193457539046,SUR,GBR
115,402,3608.7001107307115,SUR,CPV
115,437,5521.8060989712085,SUR,CIV
115,452,6088.285698588179,SUR,GHA
115,450,4913.8464004258285,SUR,LBR
115,235,5887.858154827785,SUR,PRT
115,230,6391.55900902734,SUR,ESP
115,439,5935.167546712067,SUR,BFA
115,438,4593.995648315409,SUR,GIN
115,404,4402.487949800807,SUR,GNB
115,432,5233.730733068301,SUR,MLI
115,433,4238.168928323404,SUR,SEN
115,451,4646.340034788342,SUR,SLE
115,420,4313.976515426396,SUR,GMB
115,522,10793.279818586225,SUR,DJI
115,531,10288.886902842542,SUR,ERI
115,530,10343.772015745284,SUR,ETH
115,712,13801.39310641528,SUR,MNG
115,500,9767.590648286,SUR,UGA
115,645,10545.26689193961,SUR,IRQ
115,663,9780.556367174475,SUR,JOR
115,705,11911.388142549089,SUR,KAZ
115,385,8122.298385269011,SUR,NOR
115,365,9651.147799787435,SUR,RUS
115,380,8503.857912960628,SUR,SWE
115,615,6817.429234356957,SUR,DZA
115,232,6880.5513622609515,SUR,AND
115,471,7399.811855914502,SUR,CMR
115,482,8177.242645822372,SUR,CAF
115,221,7379.63024066416,SUR,MCO
115,616,7438.975559703826,SUR,TUN
115,434,6396.118941479162,SUR,BEN
115,411,7098.258176667567,SUR,GNQ
115,946,14620.98004483349,SUR,KIR
115,436,6334.155691701771,SUR,NER
115,475,6926.477295412981,SUR,NGA
115,403,6901.713885298358,SUR,STP
115,461,6280.796112799909,SUR,TGO
115,339,8334.065814246862,SUR,ALB
115,346,8247.494491536703,SUR,BIH
115,344,8092.137826201639,SUR,HRV
115,325,7737.762289556365,SUR,ITA
115,343,8474.47334616788,SUR,MKD
115,338,7808.318405979183,SUR,MLT
115,331,7778.589997073154,SUR,SMR
115,355,8634.501629257778,SUR,BGR
115,352,9512.681057154223,SUR,CYP
115,372,10406.302547360272,SUR,GEO
115,350,8645.211729846857,SUR,GRC
115,660,9720.616086413142,SUR,LBN
115,640,9433.971618005253,SUR,TUR
115,305,8164.4136244253095,SUR,AUT
115,316,8067.942340825243,SUR,CZE
115,390,8090.7676685745455,SUR,DNK
115,310,8353.552028806474,SUR,HUN
115,290,8558.593658737325,SUR,POL
115,317,8218.489621199074,SUR,SVK
115,349,7983.62599460184,SUR,SVN
115,211,7401.222219686751,SUR,BEL
115,220,7188.058634544377,SUR,FRA
115,223,7636.67502122991,SUR,LIE
115,212,7476.112459576231,SUR,LUX
115,210,7498.874470049841,SUR,NLD
115,225,7480.139035048141,SUR,CHE
115,370,9012.28314912208,SUR,BLR
115,366,8880.719087322335,SUR,EST
115,375,8900.259183521124,SUR,FIN
115,367,8818.96878445096,SUR,LVA
115,368,8870.954414238413,SUR,LTU
115,359,9087.516646442777,SUR,MDA
115,360,8867.878583879072,SUR,ROU
115,369,9208.470971117224,SUR,UKR
115,781,14227.23637969198,SUR,MDV
115,698,12143.870085272405,SUR,OMN
115,520,11164.388248475916,SUR,SOM
115,780,14845.778757083639,SUR,LKA
115,701,11637.89509769374,SUR,TKM
115,704,12335.715587151737,SUR,UZB
115,679,10848.594898062733,SUR,YEM
115,371,10416.14030466494,SUR,ARM
115,373,10856.289115684263,SUR,AZE
115,692,11288.473576380402,SUR,BHR
115,630,11119.62062334216,SUR,IRN
115,690,10964.390544928126,SUR,KWT
115,694,11404.53550640734,SUR,QAT
115,670,10948.11309225965,SUR,SAU
115,696,11704.077770774484,SUR,ARE
115,700,12679.620090192207,SUR,AFG
115,703,12624.461046282324,SUR,KGZ
115,790,14384.2170938453,SUR,NPL
115,770,13047.336111582981,SUR,PAK
115,702,12444.12248588828,SUR,TJK
115,771,15057.89852260673,SUR,BGD
115,760,14736.041560865722,SUR,BTN
115,835,18409.542650762614,SUR,BRN
115,740,15144.03284088153,SUR,JPN
115,731,15036.708716253144,SUR,PRK
115,986,18235.47546752587,SUR,PLW
