iso3,year,cow_code,toa,legal_origin,dur_rat1membership,equalindx_WoL,country_names
LVA,1880,367,1992,3,NA,NA,Latvia
MAR,1880,600,1963,2,NA,NA,Morocco
MDA,1880,359,1996,2,NA,NA,Moldova
MDG,1880,580,1961,2,NA,NA,Madagascar
MEX,1880,70,1961,2,NA,NA,Mexico
MKD,1880,343,1991,2,NA,NA,North Macedonia
MLI,1880,432,1964,2,NA,NA,Mali
MMR,1880,775,NA,5,NA,NA,Myanmar (Burma)
MNE,1880,341,2006,NA,NA,NA,Montenegro
MNG,1880,712,1969,3,NA,NA,Mongolia
MOZ,1880,541,1977,2,NA,NA,Mozambique
MRT,1880,435,1963,2,NA,NA,Mauritania
MUS,1880,590,2002,2,NA,NA,Mauritius
MWI,1880,553,1965,1,NA,NA,Malawi
MYS,1880,820,NA,1,NA,NA,Malaysia
NAM,1880,565,2001,1,NA,NA,Namibia
NER,1880,436,1962,2,NA,NA,Niger
NGA,1880,475,2002,1,NA,NA,Nigeria
NIC,1880,93,1967,2,NA,NA,Nicaragua
NLD,1880,210,1973,2,NA,NA,Netherlands
