"","iso3","year","cow_code","region","confidence","toa","country_names"
"6313","KOR",1918,732,"Eastern Asia","Medium",1976,"South Korea"
"6314","KWT",1918,690,"Western Asia",NA,NA,"Kuwait"
"6315","LAO",1918,812,"South-eastern Asia","Medium",1975,"Laos"
"6316","LBN",1918,660,"Western Asia",NA,NA,"Lebanon"
"6317","LBR",1918,450,"Africa",NA,NA,"Liberia"
"6318","LBY",1918,NA,NA,NA,NA,"Libya"
"6319","LKA",1918,780,"Southern Asia","Medium",1948,"Sri Lanka"
"6320","LSO",1918,570,"Africa",NA,NA,"Lesotho"
"6321","LTU",1918,368,"Central and Eastern Europe","Medium",1912,"Lithuania"
"6322","LUX",1918,212,"Western Europe",NA,NA,"Luxembourg"
"6323","LVA",1918,367,"Central and Eastern Europe","Medium",1912,"Latvia"
"6324","MAR",1918,600,"Africa",NA,NA,"Morocco"
"6325","MDA",1918,359,"Central and Eastern Europe","Medium",1912,"Moldova"
"6326","MDG",1918,580,"Africa",NA,NA,"Madagascar"
"6327","MEX",1918,70,"Americas","High",1943,"Mexico"
"6328","MKD",1918,343,"Central and Eastern Europe","Medium",1922,"North Macedonia"
"6329","MLI",1918,432,"Africa","Low",1970,"Mali"
"6330","MMR",1918,775,"South-eastern Asia","Medium",1953,"Myanmar (Burma)"
"6331","MNE",1918,341,"Central and Eastern Europe","Medium",1922,"Montenegro"
"6332","MNG",1918,712,"Eastern Asia","Medium",1921,"Mongolia"
"6333","MOZ",1918,541,"Africa","Low",1975,"Mozambique"
"6334","MRT",1918,NA,NA,NA,NA,"Mauritania"
"6335","MUS",1918,590,"Africa",NA,NA,"Mauritius"
"6336","MWI",1918,553,"Africa",NA,NA,"Malawi"
"6337","MYS",1918,820,"South-eastern Asia","Medium",1957,"Malaysia"
"6338","NAM",1918,565,"Africa",NA,NA,"Namibia"
"6339","NER",1918,436,"Africa",NA,NA,"Niger"
"6340","NGA",1918,475,"Africa",NA,NA,"Nigeria"
"6341","NIC",1918,93,"Americas","High",1956,"Nicaragua"
"6342","NLD",1918,210,"Western Europe","Medium",1941,"Netherlands"
"6343","NOR",1918,385,"Northern Europe","Medium",1912,"Norway"
"6344","NPL",1918,790,"Southern Asia",NA,NA,"Nepal"
"6345","NZL",1918,920,"Oceania","Medium",1906,"New Zealand"
"6346","OMN",1918,698,"Western Asia",NA,NA,"Oman"
"6347","PAK",1918,770,"Southern Asia","Low",1947,"Pakistan"
"6348","PAN",1918,95,"Americas","High",1941,"Panama"
"6349","PER",1918,135,"Americas","High",1935,"Peru"
"6350","PHL",1918,840,"South-eastern Asia","Medium",1954,"Philippines"
"6351","PNG",1918,910,"Oceania","Low",1977,"Papua New Guinea"
"6352","POL",1918,290,"Central and Eastern Europe","Medium",1920,"Poland"
"6353","PRK",1918,731,"Eastern Asia","Medium",1946,"North Korea"
"6354","PRT",1918,235,"Europe","Medium",1889,"Portugal"
"6355","PRY",1918,150,"Americas","High",1936,"Paraguay"
"6356","QAT",1918,694,"Western Asia",NA,NA,"Qatar"
"6357","ROU",1918,360,"Central and Eastern Europe","Medium",1933,"Romania"
"6358","RUS",1918,365,"Central and Eastern Europe","Medium",1912,"Russia"
"6359","RWA",1918,517,"Africa",NA,NA,"Rwanda"
"6360","SAU",1918,670,"Western Asia",NA,NA,"Saudi Arabia"
"6361","SDN",1918,625,"Africa",NA,NA,"Sudan"
"6362","SEN",1918,433,"Africa",NA,NA,"Senegal"
"6363","SGP",1918,830,"South-eastern Asia","Medium",1959,"Singapore"
"6364","SLB",1918,940,"Oceania",NA,NA,"Solomon Islands"
"6365","SLE",1918,451,"Africa",NA,NA,"Sierra Leone"
"6366","SLV",1918,92,"Americas","High",1949,"El Salvador"
"6367","SOM",1918,NA,NA,NA,NA,"Somalia"
"6368","SRB",1918,345,"Central and Eastern Europe","Medium",1922,"Serbia"
"6369","SSD",1918,626,"Africa",NA,NA,"South Sudan"
"6370","SUR",1918,115,"Americas","Medium",NA,"Suriname"
"6371","SVK",1918,317,"Central and Eastern Europe","Medium",1888,"Slovakia"
"6372","SVN",1918,349,"Central and Eastern Europe","Medium",1888,"Slovenia"
"6373","SWE",1918,380,"Northern Europe","Medium",1928,"Sweden"
"6374","SWZ",1918,572,"Africa",NA,NA,"Eswatini"
"6375","SYR",1918,652,"Western Asia",NA,NA,"Syria"
"6376","TCD",1918,483,"Africa",NA,NA,"Chad"
"6377","TGO",1918,461,"Africa",NA,NA,"Togo"
"6378","THA",1918,800,"South-eastern Asia","Medium",1974,"Thailand"
"6379","TJK",1918,702,"Central Asia","Low",1922,"Tajikistan"
"6380","TKM",1918,701,"Central Asia","Low",1922,"Turkmenistan"
"6381","TLS",1918,860,"Asia","(very) Low",1999,"Timor-Leste"
"6382","TTO",1918,52,"Americas","High",1951,"Trinidad & Tobago"
"6383","TUN",1918,616,"Africa","High",1991,"Tunisia"
"6384","TUR",1918,640,"Western Asia","Low",1946,"Turkey"
"6385","TZA",1918,510,"Africa",NA,NA,"Tanzania"
"6386","UGA",1918,500,"Africa",NA,NA,"Uganda"
"6387","UKR",1918,369,"Central and Eastern Europe","Medium",1912,"Ukraine"
"6388","URY",1918,165,"Americas","High",1931,"Uruguay"
"6389","USA",1918,2,"Americas","High",1965,"United States"
"6390","UZB",1918,704,"Central Asia","Low",1922,"Uzbekistan"
"6391","VEN",1918,101,"Americas","High",1912,"Venezuela"
"6392","VNM",1918,816,"South-eastern Asia","Medium",1976,"Vietnam"
"6393","YEM",1918,679,"Western Asia",NA,NA,"Yemen"
"6394","ZAF",1918,560,"Africa",NA,NA,"South Africa"
"6395","ZMB",1918,551,"Africa",NA,NA,"Zambia"
"6396","ZWE",1918,552,"Africa",NA,NA,"Zimbabwe"
"6397","AFG",1919,700,"Southern Asia",NA,NA,"Afghanistan"
"6398","AGO",1919,540,"Africa","Low",1975,"Angola"
"6399","ALB",1919,339,"Central and Eastern Europe","Medium",1946,"Albania"
"6400","ARE",1919,696,"Western Asia",NA,NA,"United Arab Emirates"
"6401","ARG",1919,160,"Americas","High",1944,"Argentina"
"6402","ARM",1919,371,"Central and Eastern Europe","Low",1912,"Armenia"
"6403","AUS",1919,900,"Oceania","Medium",1953,"Australia"
"6404","AUT",1919,305,"Western Europe","High",1888,"Austria"
"6405","AZE",1919,373,"Central and Eastern Europe","Low",1912,"Azerbaijan"
"6406","BDI",1919,516,"Africa",NA,NA,"Burundi"
"6407","BEL",1919,211,"Western Europe",NA,NA,"Belgium"
"6408","BEN",1919,434,"Africa",NA,NA,"Benin"
"6409","BFA",1919,439,"Africa",NA,NA,"Burkina Faso"
"6410","BGD",1919,771,"Southern Asia","Low",1947,"Bangladesh"
"6411","BGR",1919,355,"Central and Eastern Europe","Medium",1888,"Bulgaria"
"6412","BHR",1919,692,"Western Asia",NA,NA,"Bahrain"
"6413","BIH",1919,346,"Central and Eastern Europe","Medium",1922,"Bosnia & Herzegovina"
"6414","BLR",1919,370,"Central and Eastern Europe","Medium",1912,"Belarus"
"6415","BOL",1919,145,"Americas","High",1938,"Bolivia"
"6416","BRA",1919,140,"Americas","High",1923,"Brazil"
"6417","BTN",1919,760,"Southern Asia","Medium",1961,"Bhutan"
"6418","BWA",1919,571,"Africa",NA,NA,"Botswana"
"6419","CAF",1919,482,"Africa",NA,NA,"Central African Republic"
"6420","CAN",1919,20,"Americas","High",1958,"Canada"
"6421","CHE",1919,225,"Western Europe","Medium",1911,"Switzerland"
"6422","CHL",1919,155,"Americas","High",1924,"Chile"
"6423","CHN",1919,710,"Eastern Asia","High",1951,"China"
"6424","CIV",1919,437,"Africa",NA,NA,"Côte d’Ivoire"
"6425","CMR",1919,471,"Africa",NA,NA,"Cameroon"
"6426","COD",1919,490,"Africa","High",1984,"Congo - Kinshasa"
"6427","COG",1919,484,"Africa",NA,NA,"Congo - Brazzaville"
"6428","COL",1919,100,"Americas","High",1938,"Colombia"
"6429","COM",1919,NA,NA,NA,NA,"Comoros"
"6430","CPV",1919,402,"Africa","(very) Low",1978,"Cape Verde"
"6431","CRI",1919,94,"Americas","High",1941,"Costa Rica"
"6432","CUB",1919,40,"Americas","High",1909,"Cuba"
"6433","CYP",1919,352,"Western Asia","Medium",1957,"Cyprus"
"6434","CZE",1919,316,"Central and Eastern Europe","Medium",1888,"Czechia"
"6435","DEU",1919,255,"Western Europe","High",1883,"Germany"
"6436","DJI",1919,522,"Africa",NA,NA,"Djibouti"
"6437","DNK",1919,390,"Northern Europe","Low",1892,"Denmark"
"6438","DOM",1919,42,"Americas","High",1947,"Dominican Republic"
"6439","DZA",1919,615,"Africa","High",1976,"Algeria"
"6440","ECU",1919,130,"Americas","High",1935,"Ecuador"
"6441","EGY",1919,NA,NA,NA,NA,"Egypt"
"6442","ESP",1919,230,"Europe","Medium",1883,"Spain"
"6443","EST",1919,366,"Central and Eastern Europe","Medium",1912,"Estonia"
"6444","ETH",1919,530,"Africa",NA,NA,"Ethiopia"
"6445","FIN",1919,375,"Northern Europe","Low",1963,"Finland"
"6446","FJI",1919,950,"Oceania","Low",1977,"Fiji"
"6447","FRA",1919,220,"Western Europe","Medium",1893,"France"
"6448","GAB",1919,481,"Africa",NA,NA,"Gabon"
"6449","GBR",1919,200,"Western Europe","High",1911,"United Kingdom"
"6450","GEO",1919,372,"Central and Eastern Europe","Low",1912,"Georgia"
"6451","GHA",1919,NA,NA,NA,NA,"Ghana"
"6452","GIN",1919,438,"Africa",NA,NA,"Guinea"
"6453","GMB",1919,420,"Africa",NA,NA,"Gambia"
"6454","GNB",1919,404,"Africa","Low",1993,"Guinea-Bissau"
"6455","GNQ",1919,411,"Africa","Low",NA,"Equatorial Guinea"
"6456","GRC",1919,350,"Southern Europe","Medium",1922,"Greece"
"6457","GTM",1919,90,"Americas","High",1944,"Guatemala"
"6458","GUY",1919,110,"Americas","Medium",NA,"Guyana"
"6459","HND",1919,91,"Americas","High",1959,"Honduras"
"6460","HRV",1919,344,"Central and Eastern Europe","Medium",1888,"Croatia"
"6461","HTI",1919,41,"Americas","High",1948,"Haiti"
"6462","HUN",1919,310,"Central and Eastern Europe","Medium",1891,"Hungary"
"6463","IDN",1919,850,"South-eastern Asia","Medium",1949,"Indonesia"
"6464","IND",1919,750,"Southern Asia","Low",1947,"India"
"6465","IRL",1919,205,"Western Europe",NA,NA,"Ireland"
"6466","IRN",1919,630,"Southern Asia","Medium",1955,"Iran"
"6467","IRQ",1919,645,"Western Asia",NA,NA,"Iraq"
"6468","ISR",1919,666,"Western Asia","Low",1948,"Israel"
"6469","ITA",1919,325,"Southern Europe","Medium",1923,"Italy"
"6470","JAM",1919,51,"Americas","High",1965,"Jamaica"
"6471","JOR",1919,663,"Western Asia",NA,NA,"Jordan"
"6472","JPN",1919,740,"Eastern Asia","High",1922,"Japan"
"6473","KAZ",1919,705,"Central Asia","Low",1922,"Kazakhstan"
"6474","KEN",1919,501,"Africa",NA,NA,"Kenya"
"6475","KGZ",1919,703,"Central Asia","Low",1922,"Kyrgyzstan"
"6476","KHM",1919,811,"South-eastern Asia","Low",1955,"Cambodia"
"6477","KOR",1919,732,"Eastern Asia","Medium",1976,"South Korea"
"6478","KWT",1919,690,"Western Asia",NA,NA,"Kuwait"
"6479","LAO",1919,812,"South-eastern Asia","Medium",1975,"Laos"
"6480","LBN",1919,660,"Western Asia",NA,NA,"Lebanon"
"6481","LBR",1919,450,"Africa",NA,NA,"Liberia"
"6482","LBY",1919,NA,NA,NA,NA,"Libya"
"6483","LKA",1919,780,"Southern Asia","Medium",1948,"Sri Lanka"
"6484","LSO",1919,570,"Africa",NA,NA,"Lesotho"
"6485","LTU",1919,368,"Central and Eastern Europe","Medium",1912,"Lithuania"
"6486","LUX",1919,212,"Western Europe",NA,NA,"Luxembourg"
"6487","LVA",1919,367,"Central and Eastern Europe","Medium",1912,"Latvia"
"6488","MAR",1919,600,"Africa",NA,NA,"Morocco"
"6489","MDA",1919,359,"Central and Eastern Europe","Medium",1912,"Moldova"
"6490","MDG",1919,580,"Africa",NA,NA,"Madagascar"
"6491","MEX",1919,70,"Americas","High",1943,"Mexico"
"6492","MKD",1919,343,"Central and Eastern Europe","Medium",1922,"North Macedonia"
"6493","MLI",1919,432,"Africa","Low",1970,"Mali"
"6494","MMR",1919,775,"South-eastern Asia","Medium",1953,"Myanmar (Burma)"
"6495","MNE",1919,341,"Central and Eastern Europe","Medium",1922,"Montenegro"
"6496","MNG",1919,712,"Eastern Asia","Medium",1921,"Mongolia"
"6497","MOZ",1919,541,"Africa","Low",1975,"Mozambique"
"6498","MRT",1919,NA,NA,NA,NA,"Mauritania"
"6499","MUS",1919,590,"Africa",NA,NA,"Mauritius"
"6500","MWI",1919,553,"Africa",NA,NA,"Malawi"
"6501","MYS",1919,820,"South-eastern Asia","Medium",1957,"Malaysia"
"6502","NAM",1919,565,"Africa",NA,NA,"Namibia"
"6503","NER",1919,436,"Africa",NA,NA,"Niger"
"6504","NGA",1919,475,"Africa",NA,NA,"Nigeria"
"6505","NIC",1919,93,"Americas","High",1956,"Nicaragua"
"6506","NLD",1919,210,"Western Europe","Medium",1941,"Netherlands"
"6507","NOR",1919,385,"Northern Europe","Medium",1912,"Norway"
"6508","NPL",1919,790,"Southern Asia",NA,NA,"Nepal"
"6509","NZL",1919,920,"Oceania","Medium",1906,"New Zealand"
"6510","OMN",1919,698,"Western Asia",NA,NA,"Oman"
"6511","PAK",1919,770,"Southern Asia","Low",1947,"Pakistan"
"6512","PAN",1919,95,"Americas","High",1941,"Panama"
"6513","PER",1919,135,"Americas","High",1935,"Peru"
"6514","PHL",1919,840,"South-eastern Asia","Medium",1954,"Philippines"
"6515","PNG",1919,910,"Oceania","Low",1977,"Papua New Guinea"
"6516","POL",1919,290,"Central and Eastern Europe","Medium",1920,"Poland"
"6517","PRK",1919,731,"Eastern Asia","Medium",1946,"North Korea"
"6518","PRT",1919,235,"Europe","Medium",1889,"Portugal"
"6519","PRY",1919,150,"Americas","High",1936,"Paraguay"
"6520","QAT",1919,694,"Western Asia",NA,NA,"Qatar"
"6521","ROU",1919,360,"Central and Eastern Europe","Medium",1933,"Romania"
"6522","RUS",1919,365,"Central and Eastern Europe","Medium",1912,"Russia"
"6523","RWA",1919,517,"Africa",NA,NA,"Rwanda"
"6524","SAU",1919,670,"Western Asia",NA,NA,"Saudi Arabia"
"6525","SDN",1919,625,"Africa",NA,NA,"Sudan"
"6526","SEN",1919,433,"Africa",NA,NA,"Senegal"
"6527","SGP",1919,830,"South-eastern Asia","Medium",1959,"Singapore"
"6528","SLB",1919,940,"Oceania",NA,NA,"Solomon Islands"
"6529","SLE",1919,451,"Africa",NA,NA,"Sierra Leone"
"6530","SLV",1919,92,"Americas","High",1949,"El Salvador"
"6531","SOM",1919,NA,NA,NA,NA,"Somalia"
"6532","SRB",1919,345,"Central and Eastern Europe","Medium",1922,"Serbia"
"6533","SSD",1919,626,"Africa",NA,NA,"South Sudan"
"6534","SUR",1919,115,"Americas","Medium",NA,"Suriname"
"6535","SVK",1919,317,"Central and Eastern Europe","Medium",1888,"Slovakia"
"6536","SVN",1919,349,"Central and Eastern Europe","Medium",1888,"Slovenia"
"6537","SWE",1919,380,"Northern Europe","Medium",1928,"Sweden"
"6538","SWZ",1919,572,"Africa",NA,NA,"Eswatini"
"6539","SYR",1919,652,"Western Asia",NA,NA,"Syria"
"6540","TCD",1919,483,"Africa",NA,NA,"Chad"
"6541","TGO",1919,461,"Africa",NA,NA,"Togo"
"6542","THA",1919,800,"South-eastern Asia","Medium",1974,"Thailand"
"6543","TJK",1919,702,"Central Asia","Low",1922,"Tajikistan"
"6544","TKM",1919,701,"Central Asia","Low",1922,"Turkmenistan"
"6545","TLS",1919,860,"Asia","(very) Low",1999,"Timor-Leste"
"6546","TTO",1919,52,"Americas","High",1951,"Trinidad & Tobago"
"6547","TUN",1919,616,"Africa","High",1991,"Tunisia"
"6548","TUR",1919,640,"Western Asia","Low",1946,"Turkey"
"6549","TZA",1919,510,"Africa",NA,NA,"Tanzania"
"6550","UGA",1919,500,"Africa",NA,NA,"Uganda"
"6551","UKR",1919,369,"Central and Eastern Europe","Medium",1912,"Ukraine"
"6552","URY",1919,165,"Americas","High",1931,"Uruguay"
"6553","USA",1919,2,"Americas","High",1965,"United States"
"6554","UZB",1919,704,"Central Asia","Low",1922,"Uzbekistan"
"6555","VEN",1919,101,"Americas","High",1912,"Venezuela"
"6556","VNM",1919,816,"South-eastern Asia","Medium",1976,"Vietnam"
"6557","YEM",1919,679,"Western Asia",NA,NA,"Yemen"
"6558","ZAF",1919,560,"Africa",NA,NA,"South Africa"
"6559","ZMB",1919,551,"Africa",NA,NA,"Zambia"
"6560","ZWE",1919,552,"Africa",NA,NA,"Zimbabwe"
"6561","AFG",1920,700,"Southern Asia",NA,NA,"Afghanistan"
"6562","AGO",1920,540,"Africa","Low",1975,"Angola"
"6563","ALB",1920,339,"Central and Eastern Europe","Medium",1946,"Albania"
"6564","ARE",1920,696,"Western Asia",NA,NA,"United Arab Emirates"
"6565","ARG",1920,160,"Americas","High",1944,"Argentina"
"6566","ARM",1920,371,"Central and Eastern Europe","Low",1912,"Armenia"
"6567","AUS",1920,900,"Oceania","Medium",1953,"Australia"
"6568","AUT",1920,305,"Western Europe","High",1888,"Austria"
"6569","AZE",1920,373,"Central and Eastern Europe","Low",1912,"Azerbaijan"
"6570","BDI",1920,516,"Africa",NA,NA,"Burundi"
"6571","BEL",1920,211,"Western Europe",NA,NA,"Belgium"
"6572","BEN",1920,434,"Africa",NA,NA,"Benin"
"6573","BFA",1920,439,"Africa",NA,NA,"Burkina Faso"
"6574","BGD",1920,771,"Southern Asia","Low",1947,"Bangladesh"
"6575","BGR",1920,355,"Central and Eastern Europe","Medium",1888,"Bulgaria"
"6576","BHR",1920,692,"Western Asia",NA,NA,"Bahrain"
"6577","BIH",1920,346,"Central and Eastern Europe","Medium",1922,"Bosnia & Herzegovina"
"6578","BLR",1920,370,"Central and Eastern Europe","Medium",1912,"Belarus"
"6579","BOL",1920,145,"Americas","High",1938,"Bolivia"
"6580","BRA",1920,140,"Americas","High",1923,"Brazil"
"6581","BTN",1920,760,"Southern Asia","Medium",1961,"Bhutan"
"6582","BWA",1920,571,"Africa",NA,NA,"Botswana"
"6583","CAF",1920,482,"Africa",NA,NA,"Central African Republic"
"6584","CAN",1920,20,"Americas","High",1958,"Canada"
"6585","CHE",1920,225,"Western Europe","Medium",1911,"Switzerland"
"6586","CHL",1920,155,"Americas","High",1924,"Chile"
"6587","CHN",1920,710,"Eastern Asia","High",1951,"China"
"6588","CIV",1920,437,"Africa",NA,NA,"Côte d’Ivoire"
"6589","CMR",1920,471,"Africa",NA,NA,"Cameroon"
"6590","COD",1920,490,"Africa","High",1984,"Congo - Kinshasa"
"6591","COG",1920,484,"Africa",NA,NA,"Congo - Brazzaville"
"6592","COL",1920,100,"Americas","High",1938,"Colombia"
"6593","COM",1920,NA,NA,NA,NA,"Comoros"
"6594","CPV",1920,402,"Africa","(very) Low",1978,"Cape Verde"
"6595","CRI",1920,94,"Americas","High",1941,"Costa Rica"
"6596","CUB",1920,40,"Americas","High",1909,"Cuba"
"6597","CYP",1920,352,"Western Asia","Medium",1957,"Cyprus"
"6598","CZE",1920,316,"Central and Eastern Europe","Medium",1888,"Czechia"
"6599","DEU",1920,255,"Western Europe","High",1883,"Germany"
"6600","DJI",1920,522,"Africa",NA,NA,"Djibouti"
"6601","DNK",1920,390,"Northern Europe","Low",1892,"Denmark"
"6602","DOM",1920,42,"Americas","High",1947,"Dominican Republic"
"6603","DZA",1920,615,"Africa","High",1976,"Algeria"
"6604","ECU",1920,130,"Americas","High",1935,"Ecuador"
"6605","EGY",1920,NA,NA,NA,NA,"Egypt"
"6606","ESP",1920,230,"Europe","Medium",1883,"Spain"
"6607","EST",1920,366,"Central and Eastern Europe","Medium",1912,"Estonia"
"6608","ETH",1920,530,"Africa",NA,NA,"Ethiopia"
"6609","FIN",1920,375,"Northern Europe","Low",1963,"Finland"
"6610","FJI",1920,950,"Oceania","Low",1977,"Fiji"
"6611","FRA",1920,220,"Western Europe","Medium",1893,"France"
"6612","GAB",1920,481,"Africa",NA,NA,"Gabon"
"6613","GBR",1920,200,"Western Europe","High",1911,"United Kingdom"
"6614","GEO",1920,372,"Central and Eastern Europe","Low",1912,"Georgia"
"6615","GHA",1920,NA,NA,NA,NA,"Ghana"
"6616","GIN",1920,438,"Africa",NA,NA,"Guinea"
"6617","GMB",1920,420,"Africa",NA,NA,"Gambia"
"6618","GNB",1920,404,"Africa","Low",1993,"Guinea-Bissau"
"6619","GNQ",1920,411,"Africa","Low",NA,"Equatorial Guinea"
"6620","GRC",1920,350,"Southern Europe","Medium",1922,"Greece"
"6621","GTM",1920,90,"Americas","High",1944,"Guatemala"
"6622","GUY",1920,110,"Americas","Medium",NA,"Guyana"
"6623","HND",1920,91,"Americas","High",1959,"Honduras"
"6624","HRV",1920,344,"Central and Eastern Europe","Medium",1888,"Croatia"
"6625","HTI",1920,41,"Americas","High",1948,"Haiti"
"6626","HUN",1920,310,"Central and Eastern Europe","Medium",1891,"Hungary"
"6627","IDN",1920,850,"South-eastern Asia","Medium",1949,"Indonesia"
"6628","IND",1920,750,"Southern Asia","Low",1947,"India"
"6629","IRL",1920,205,"Western Europe",NA,NA,"Ireland"
"6630","IRN",1920,630,"Southern Asia","Medium",1955,"Iran"
"6631","IRQ",1920,645,"Western Asia",NA,NA,"Iraq"
"6632","ISR",1920,666,"Western Asia","Low",1948,"Israel"
"6633","ITA",1920,325,"Southern Europe","Medium",1923,"Italy"
"6634","JAM",1920,51,"Americas","High",1965,"Jamaica"
"6635","JOR",1920,663,"Western Asia",NA,NA,"Jordan"
"6636","JPN",1920,740,"Eastern Asia","High",1922,"Japan"
"6637","KAZ",1920,705,"Central Asia","Low",1922,"Kazakhstan"
"6638","KEN",1920,501,"Africa",NA,NA,"Kenya"
"6639","KGZ",1920,703,"Central Asia","Low",1922,"Kyrgyzstan"
"6640","KHM",1920,811,"South-eastern Asia","Low",1955,"Cambodia"
"6641","KOR",1920,732,"Eastern Asia","Medium",1976,"South Korea"
"6642","KWT",1920,690,"Western Asia",NA,NA,"Kuwait"
"6643","LAO",1920,812,"South-eastern Asia","Medium",1975,"Laos"
"6644","LBN",1920,660,"Western Asia",NA,NA,"Lebanon"
"6645","LBR",1920,450,"Africa",NA,NA,"Liberia"
"6646","LBY",1920,NA,NA,NA,NA,"Libya"
"6647","LKA",1920,780,"Southern Asia","Medium",1948,"Sri Lanka"
"6648","LSO",1920,570,"Africa",NA,NA,"Lesotho"
"6649","LTU",1920,368,"Central and Eastern Europe","Medium",1912,"Lithuania"
"6650","LUX",1920,212,"Western Europe",NA,NA,"Luxembourg"
"6651","LVA",1920,367,"Central and Eastern Europe","Medium",1912,"Latvia"
"6652","MAR",1920,600,"Africa",NA,NA,"Morocco"
"6653","MDA",1920,359,"Central and Eastern Europe","Medium",1912,"Moldova"
"6654","MDG",1920,580,"Africa",NA,NA,"Madagascar"
"6655","MEX",1920,70,"Americas","High",1943,"Mexico"
"6656","MKD",1920,343,"Central and Eastern Europe","Medium",1922,"North Macedonia"
"6657","MLI",1920,432,"Africa","Low",1970,"Mali"
"6658","MMR",1920,775,"South-eastern Asia","Medium",1953,"Myanmar (Burma)"
"6659","MNE",1920,341,"Central and Eastern Europe","Medium",1922,"Montenegro"
"6660","MNG",1920,712,"Eastern Asia","Medium",1921,"Mongolia"
"6661","MOZ",1920,541,"Africa","Low",1975,"Mozambique"
"6662","MRT",1920,NA,NA,NA,NA,"Mauritania"
"6663","MUS",1920,590,"Africa",NA,NA,"Mauritius"
"6664","MWI",1920,553,"Africa",NA,NA,"Malawi"
"6665","MYS",1920,820,"South-eastern Asia","Medium",1957,"Malaysia"
"6666","NAM",1920,565,"Africa",NA,NA,"Namibia"
"6667","NER",1920,436,"Africa",NA,NA,"Niger"
"6668","NGA",1920,475,"Africa",NA,NA,"Nigeria"
"6669","NIC",1920,93,"Americas","High",1956,"Nicaragua"
"6670","NLD",1920,210,"Western Europe","Medium",1941,"Netherlands"
"6671","NOR",1920,385,"Northern Europe","Medium",1912,"Norway"
"6672","NPL",1920,790,"Southern Asia",NA,NA,"Nepal"
"6673","NZL",1920,920,"Oceania","Medium",1906,"New Zealand"
"6674","OMN",1920,698,"Western Asia",NA,NA,"Oman"
"6675","PAK",1920,770,"Southern Asia","Low",1947,"Pakistan"
"6676","PAN",1920,95,"Americas","High",1941,"Panama"
"6677","PER",1920,135,"Americas","High",1935,"Peru"
"6678","PHL",1920,840,"South-eastern Asia","Medium",1954,"Philippines"
"6679","PNG",1920,910,"Oceania","Low",1977,"Papua New Guinea"
"6680","POL",1920,290,"Central and Eastern Europe","Medium",1920,"Poland"
"6681","PRK",1920,731,"Eastern Asia","Medium",1946,"North Korea"
"6682","PRT",1920,235,"Europe","Medium",1889,"Portugal"
"6683","PRY",1920,150,"Americas","High",1936,"Paraguay"
"6684","QAT",1920,694,"Western Asia",NA,NA,"Qatar"
"6685","ROU",1920,360,"Central and Eastern Europe","Medium",1933,"Romania"
"6686","RUS",1920,365,"Central and Eastern Europe","Medium",1912,"Russia"
"6687","RWA",1920,517,"Africa",NA,NA,"Rwanda"
"6688","SAU",1920,670,"Western Asia",NA,NA,"Saudi Arabia"
"6689","SDN",1920,625,"Africa",NA,NA,"Sudan"
"6690","SEN",1920,433,"Africa",NA,NA,"Senegal"
"6691","SGP",1920,830,"South-eastern Asia","Medium",1959,"Singapore"
"6692","SLB",1920,940,"Oceania",NA,NA,"Solomon Islands"
"6693","SLE",1920,451,"Africa",NA,NA,"Sierra Leone"
"6694","SLV",1920,92,"Americas","High",1949,"El Salvador"
"6695","SOM",1920,NA,NA,NA,NA,"Somalia"
"6696","SRB",1920,345,"Central and Eastern Europe","Medium",1922,"Serbia"
"6697","SSD",1920,626,"Africa",NA,NA,"South Sudan"
"6698","SUR",1920,115,"Americas","Medium",NA,"Suriname"
"6699","SVK",1920,317,"Central and Eastern Europe","Medium",1888,"Slovakia"
"6700","SVN",1920,349,"Central and Eastern Europe","Medium",1888,"Slovenia"
"6701","SWE",1920,380,"Northern Europe","Medium",1928,"Sweden"
"6702","SWZ",1920,572,"Africa",NA,NA,"Eswatini"
"6703","SYR",1920,652,"Western Asia",NA,NA,"Syria"
"6704","TCD",1920,483,"Africa",NA,NA,"Chad"
"6705","TGO",1920,461,"Africa",NA,NA,"Togo"
"6706","THA",1920,800,"South-eastern Asia","Medium",1974,"Thailand"
"6707","TJK",1920,702,"Central Asia","Low",1922,"Tajikistan"
"6708","TKM",1920,701,"Central Asia","Low",1922,"Turkmenistan"
"6709","TLS",1920,860,"Asia","(very) Low",1999,"Timor-Leste"
"6710","TTO",1920,52,"Americas","High",1951,"Trinidad & Tobago"
"6711","TUN",1920,616,"Africa","High",1991,"Tunisia"
"6712","TUR",1920,640,"Western Asia","Low",1946,"Turkey"
"6713","TZA",1920,510,"Africa",NA,NA,"Tanzania"
"6714","UGA",1920,500,"Africa",NA,NA,"Uganda"
"6715","UKR",1920,369,"Central and Eastern Europe","Medium",1912,"Ukraine"
"6716","URY",1920,165,"Americas","High",1931,"Uruguay"
"6717","USA",1920,2,"Americas","High",1965,"United States"
"6718","UZB",1920,704,"Central Asia","Low",1922,"Uzbekistan"
"6719","VEN",1920,101,"Americas","High",1912,"Venezuela"
"6720","VNM",1920,816,"South-eastern Asia","Medium",1976,"Vietnam"
"6721","YEM",1920,679,"Western Asia",NA,NA,"Yemen"
"6722","ZAF",1920,560,"Africa",NA,NA,"South Africa"
"6723","ZMB",1920,551,"Africa",NA,NA,"Zambia"
"6724","ZWE",1920,552,"Africa",NA,NA,"Zimbabwe"
