"","iso3","year","cow_code","x1","toa","country_names"
"1522","ESP",1889,230,42,1929,"Spain"
"1523","EST",1889,366,42,1924,"Estonia"
"1524","ETH",1889,530,42,NA,"Ethiopia"
"1525","FIN",1889,375,42,1963,"Finland"
"1526","FJI",1889,950,42,NA,"Fiji"
"1527","FRA",1889,220,42,1928,"France"
"1528","GAB",1889,481,42,1952,"Gabon"
"1529","GBR",1889,200,42,1911,"United Kingdom"
"1530","GEO",1889,372,42,1964,"Georgia"
"1531","GHA",1889,452,42,2003,"Ghana"
"1532","GIN",1889,438,42,1960,"Guinea"
"1533","GMB",1889,420,42,NA,"Gambia"
"1534","GNB",1889,NA,NA,NA,"Guinea-Bissau"
"1535","GNQ",1889,411,42,1947,"Equatorial Guinea"
"1536","GRC",1889,350,42,1922,"Greece"
"1537","GTM",1889,90,42,1952,"Guatemala"
"1538","GUY",1889,110,42,1969,"Guyana"
"1539","HND",1889,91,42,1959,"Honduras"
"1540","HRV",1889,344,42,1954,"Croatia"
"1541","HTI",1889,41,42,NA,"Haiti"
"1542","HUN",1889,310,42,1891,"Hungary"
"1543","IDN",1889,850,42,1957,"Indonesia"
"1544","IND",1889,750,42,1948,"India"
"1545","IRL",1889,205,42,1911,"Ireland"
"1546","IRN",1889,630,42,1949,"Iran"
"1547","IRQ",1889,NA,NA,NA,"Iraq"
"1548","ISR",1889,666,42,1953,"Israel"
"1549","ITA",1889,325,42,1912,"Italy"
"1550","JAM",1889,51,42,1965,"Jamaica"
"1551","JOR",1889,663,42,1978,"Jordan"
"1552","JPN",1889,740,42,1922,"Japan"
"1553","KAZ",1889,705,42,1999,"Kazakhstan"
"1554","KEN",1889,501,42,1966,"Kenya"
"1555","KGZ",1889,703,42,1922,"Kyrgyzstan"
"1556","KHM",1889,NA,NA,NA,"Cambodia"
"1557","KOR",1889,732,42,1963,"South Korea"
"1558","KWT",1889,690,42,NA,"Kuwait"
"1559","LAO",1889,812,42,1999,"Laos"
"1560","LBN",1889,660,42,1963,"Lebanon"
"1561","LBR",1889,450,42,1943,"Liberia"
"1562","LBY",1889,620,42,1958,"Libya"
"1563","LKA",1889,780,42,NA,"Sri Lanka"
"1564","LSO",1889,570,42,NA,"Lesotho"
"1565","LTU",1889,368,42,1925,"Lithuania"
"1566","LUX",1889,212,42,1901,"Luxembourg"
"1567","LVA",1889,367,42,1924,"Latvia"
"1568","MAR",1889,600,42,1959,"Morocco"
"1569","MDA",1889,359,42,1993,"Moldova"
"1570","MDG",1889,580,42,1952,"Madagascar"
"1571","MEX",1889,70,42,1943,"Mexico"
"1572","MKD",1889,NA,NA,NA,"North Macedonia"
"1573","MLI",1889,432,42,1952,"Mali"
"1574","MMR",1889,775,42,1954,"Myanmar (Burma)"
"1575","MNE",1889,NA,NA,NA,"Montenegro"
"1576","MNG",1889,NA,NA,NA,"Mongolia"
"1577","MOZ",1889,NA,NA,NA,"Mozambique"
"1578","MRT",1889,435,42,1952,"Mauritania"
"1579","MUS",1889,590,42,NA,"Mauritius"
"1580","MWI",1889,553,42,NA,"Malawi"
"1581","MYS",1889,820,42,1951,"Malaysia"
"1582","NAM",1889,565,42,1994,"Namibia"
"1583","NER",1889,436,42,1952,"Niger"
"1584","NGA",1889,475,42,NA,"Nigeria"
"1585","NIC",1889,93,42,1956,"Nicaragua"
"1586","NLD",1889,210,42,1931,"Netherlands"
"1587","NOR",1889,385,42,1909,"Norway"
"1588","NPL",1889,790,42,NA,"Nepal"
"1589","NZL",1889,920,42,1938,"New Zealand"
"1590","OMN",1889,698,42,NA,"Oman"
"1591","PAK",1889,770,42,1962,"Pakistan"
"1592","PAN",1889,95,42,1941,"Panama"
"1593","PER",1889,135,42,1936,"Peru"
"1594","PHL",1889,840,42,1954,"Philippines"
"1595","PNG",1889,910,42,NA,"Papua New Guinea"
"1596","POL",1889,290,42,1920,"Poland"
"1597","PRK",1889,NA,NA,NA,"North Korea"
"1598","PRT",1889,235,42,1935,"Portugal"
"1599","PRY",1889,150,42,1943,"Paraguay"
"1600","QAT",1889,694,42,NA,"Qatar"
"1601","ROU",1889,360,42,1930,"Romania"
"1602","RUS",1889,365,42,1912,"Russia"
"1603","RWA",1889,517,42,NA,"Rwanda"
"1604","SAU",1889,670,42,NA,"Saudi Arabia"
"1605","SDN",1889,625,42,NA,"Sudan"
"1606","SEN",1889,433,42,1952,"Senegal"
"1607","SGP",1889,830,42,1953,"Singapore"
"1608","SLB",1889,940,42,NA,"Solomon Islands"
"1609","SLE",1889,451,42,NA,"Sierra Leone"
"1610","SLV",1889,92,42,1949,"El Salvador"
"1611","SOM",1889,NA,NA,NA,"Somalia"
"1612","SRB",1889,345,42,1922,"Serbia"
"1613","SSD",1889,NA,NA,NA,"South Sudan"
"1614","SUR",1889,NA,NA,NA,"Suriname"
"1615","SVK",1889,317,42,1888,"Slovakia"
"1616","SVN",1889,349,42,1922,"Slovenia"
"1617","SWE",1889,380,42,1891,"Sweden"
"1618","SWZ",1889,572,42,NA,"Eswatini"
"1619","SYR",1889,652,42,NA,"Syria"
"1620","TCD",1889,483,42,1952,"Chad"
"1621","TGO",1889,461,42,1956,"Togo"
"1622","THA",1889,800,42,1990,"Thailand"
"1623","TJK",1889,702,42,1997,"Tajikistan"
"1624","TKM",1889,701,42,1994,"Turkmenistan"
"1625","TLS",1889,NA,NA,NA,"Timor-Leste"
"1626","TTO",1889,52,42,1939,"Trinidad & Tobago"
"1627","TUN",1889,616,42,1960,"Tunisia"
"1628","TUR",1889,640,42,1945,"Turkey"
"1629","TZA",1889,510,42,1997,"Tanzania"
"1630","UGA",1889,500,42,NA,"Uganda"
"1631","UKR",1889,369,42,1912,"Ukraine"
"1632","URY",1889,165,42,1958,"Uruguay"
"1633","USA",1889,2,42,1965,"United States"
"1634","UZB",1889,704,42,1955,"Uzbekistan"
"1635","VEN",1889,101,42,1940,"Venezuela"
"1636","VNM",1889,816,42,1961,"Vietnam"
"1637","YEM",1889,679,42,NA,"Yemen"
"1638","ZAF",1889,560,42,2001,"South Africa"
"1639","ZMB",1889,551,42,1973,"Zambia"
"1640","ZWE",1889,552,42,NA,"Zimbabwe"
"1641","AFG",1890,NA,NA,NA,"Afghanistan"
"1642","AGO",1890,NA,NA,NA,"Angola"
"1643","ALB",1890,339,42,1947,"Albania"
"1644","ARE",1890,NA,NA,NA,"United Arab Emirates"
"1645","ARG",1890,160,42,1934,"Argentina"
"1646","ARM",1890,371,42,1912,"Armenia"
"1647","AUS",1890,900,42,1944,"Australia"
"1648","AUT",1890,305,42,1888,"Austria"
"1649","AZE",1890,373,42,1912,"Azerbaijan"
"1650","BDI",1890,516,42,NA,"Burundi"
"1651","BEL",1890,211,42,1894,"Belgium"
"1652","BEN",1890,434,42,1952,"Benin"
"1653","BFA",1890,439,42,1952,"Burkina Faso"
"1654","BGD",1890,771,42,1939,"Bangladesh"
"1655","BGR",1890,355,42,1918,"Bulgaria"
"1656","BHR",1890,692,42,NA,"Bahrain"
"1657","BIH",1890,NA,NA,NA,"Bosnia & Herzegovina"
"1658","BLR",1890,370,42,1955,"Belarus"
"1659","BOL",1890,145,42,1949,"Bolivia"
"1660","BRA",1890,140,42,1923,"Brazil"
"1661","BTN",1890,NA,NA,NA,"Bhutan"
"1662","BWA",1890,571,42,NA,"Botswana"
"1663","CAF",1890,482,42,1952,"Central African Republic"
"1664","CAN",1890,20,42,1996,"Canada"
"1665","CHE",1890,225,42,1911,"Switzerland"
"1666","CHL",1890,155,42,1924,"Chile"
"1667","CHN",1890,710,42,1951,"China"
"1668","CIV",1890,437,42,1955,"Côte d’Ivoire"
"1669","CMR",1890,471,42,1956,"Cameroon"
"1670","COD",1890,490,42,NA,"Congo - Kinshasa"
"1671","COG",1890,484,42,1956,"Congo - Brazzaville"
"1672","COL",1890,100,42,1938,"Colombia"
"1673","COM",1890,NA,NA,NA,"Comoros"
"1674","CPV",1890,402,42,1976,"Cape Verde"
"1675","CRI",1890,94,42,1941,"Costa Rica"
"1676","CUB",1890,40,42,1934,"Cuba"
"1677","CYP",1890,352,42,1957,"Cyprus"
"1678","CZE",1890,316,42,1888,"Czechia"
"1679","DEU",1890,255,42,1883,"Germany"
"1680","DJI",1890,522,42,1956,"Djibouti"
"1681","DNK",1890,390,42,1892,"Denmark"
"1682","DOM",1890,42,42,1947,"Dominican Republic"
"1683","DZA",1890,615,42,1949,"Algeria"
"1684","ECU",1890,130,42,1935,"Ecuador"
"1685","EGY",1890,651,42,1959,"Egypt"
"1686","ESP",1890,230,42,1929,"Spain"
"1687","EST",1890,366,42,1924,"Estonia"
"1688","ETH",1890,530,42,NA,"Ethiopia"
"1689","FIN",1890,375,42,1963,"Finland"
"1690","FJI",1890,950,42,NA,"Fiji"
"1691","FRA",1890,220,42,1928,"France"
"1692","GAB",1890,481,42,1952,"Gabon"
"1693","GBR",1890,200,42,1911,"United Kingdom"
"1694","GEO",1890,372,42,1964,"Georgia"
"1695","GHA",1890,452,42,2003,"Ghana"
"1696","GIN",1890,438,42,1960,"Guinea"
"1697","GMB",1890,420,42,NA,"Gambia"
"1698","GNB",1890,NA,NA,NA,"Guinea-Bissau"
"1699","GNQ",1890,411,42,1947,"Equatorial Guinea"
"1700","GRC",1890,350,42,1922,"Greece"
"1701","GTM",1890,90,42,1952,"Guatemala"
"1702","GUY",1890,110,42,1969,"Guyana"
"1703","HND",1890,91,42,1959,"Honduras"
"1704","HRV",1890,344,42,1954,"Croatia"
"1705","HTI",1890,41,42,NA,"Haiti"
"1706","HUN",1890,310,42,1891,"Hungary"
"1707","IDN",1890,850,42,1957,"Indonesia"
"1708","IND",1890,750,42,1948,"India"
"1709","IRL",1890,205,42,1911,"Ireland"
"1710","IRN",1890,630,42,1949,"Iran"
"1711","IRQ",1890,NA,NA,NA,"Iraq"
"1712","ISR",1890,666,42,1953,"Israel"
"1713","ITA",1890,325,42,1912,"Italy"
"1714","JAM",1890,51,42,1965,"Jamaica"
"1715","JOR",1890,663,42,1978,"Jordan"
"1716","JPN",1890,740,42,1922,"Japan"
"1717","KAZ",1890,705,42,1999,"Kazakhstan"
"1718","KEN",1890,501,42,1966,"Kenya"
"1719","KGZ",1890,703,42,1922,"Kyrgyzstan"
"1720","KHM",1890,NA,NA,NA,"Cambodia"
"1721","KOR",1890,732,42,1963,"South Korea"
"1722","KWT",1890,690,42,NA,"Kuwait"
"1723","LAO",1890,812,42,1999,"Laos"
"1724","LBN",1890,660,42,1963,"Lebanon"
"1725","LBR",1890,450,42,1943,"Liberia"
"1726","LBY",1890,620,42,1958,"Libya"
"1727","LKA",1890,780,42,NA,"Sri Lanka"
"1728","LSO",1890,570,42,NA,"Lesotho"
"1729","LTU",1890,368,42,1925,"Lithuania"
"1730","LUX",1890,212,42,1901,"Luxembourg"
"1731","LVA",1890,367,42,1924,"Latvia"
"1732","MAR",1890,600,42,1959,"Morocco"
"1733","MDA",1890,359,42,1993,"Moldova"
"1734","MDG",1890,580,42,1952,"Madagascar"
"1735","MEX",1890,70,42,1943,"Mexico"
"1736","MKD",1890,NA,NA,NA,"North Macedonia"
"1737","MLI",1890,432,42,1952,"Mali"
"1738","MMR",1890,775,42,1954,"Myanmar (Burma)"
"1739","MNE",1890,NA,NA,NA,"Montenegro"
"1740","MNG",1890,NA,NA,NA,"Mongolia"
"1741","MOZ",1890,NA,NA,NA,"Mozambique"
"1742","MRT",1890,435,42,1952,"Mauritania"
"1743","MUS",1890,590,42,NA,"Mauritius"
"1744","MWI",1890,553,42,NA,"Malawi"
"1745","MYS",1890,820,42,1951,"Malaysia"
"1746","NAM",1890,565,42,1994,"Namibia"
"1747","NER",1890,436,42,1952,"Niger"
"1748","NGA",1890,475,42,NA,"Nigeria"
"1749","NIC",1890,93,42,1956,"Nicaragua"
"1750","NLD",1890,210,42,1931,"Netherlands"
"1751","NOR",1890,385,42,1909,"Norway"
"1752","NPL",1890,790,42,NA,"Nepal"
"1753","NZL",1890,920,42,1938,"New Zealand"
"1754","OMN",1890,698,42,NA,"Oman"
"1755","PAK",1890,770,42,1962,"Pakistan"
"1756","PAN",1890,95,42,1941,"Panama"
"1757","PER",1890,135,42,1936,"Peru"
"1758","PHL",1890,840,42,1954,"Philippines"
"1759","PNG",1890,910,42,NA,"Papua New Guinea"
"1760","POL",1890,290,42,1920,"Poland"
"1761","PRK",1890,NA,NA,NA,"North Korea"
"1762","PRT",1890,235,42,1935,"Portugal"
"1763","PRY",1890,150,42,1943,"Paraguay"
"1764","QAT",1890,694,42,NA,"Qatar"
"1765","ROU",1890,360,42,1930,"Romania"
"1766","RUS",1890,365,42,1912,"Russia"
"1767","RWA",1890,517,42,NA,"Rwanda"
"1768","SAU",1890,670,42,NA,"Saudi Arabia"
