"","iso3","year","cow_code","x1","toa","country_names"
"1769","SDN",1890,625,42,NA,"Sudan"
"1770","SEN",1890,433,42,1952,"Senegal"
"1771","SGP",1890,830,42,1953,"Singapore"
"1772","SLB",1890,940,42,NA,"Solomon Islands"
"1773","SLE",1890,451,42,NA,"Sierra Leone"
"1774","SLV",1890,92,42,1949,"El Salvador"
"1775","SOM",1890,NA,NA,NA,"Somalia"
"1776","SRB",1890,345,42,1922,"Serbia"
"1777","SSD",1890,NA,NA,NA,"South Sudan"
"1778","SUR",1890,NA,NA,NA,"Suriname"
"1779","SVK",1890,317,42,1888,"Slovakia"
"1780","SVN",1890,349,42,1922,"Slovenia"
"1781","SWE",1890,380,42,1891,"Sweden"
"1782","SWZ",1890,572,42,NA,"Eswatini"
"1783","SYR",1890,652,42,NA,"Syria"
"1784","TCD",1890,483,42,1952,"Chad"
"1785","TGO",1890,461,42,1956,"Togo"
"1786","THA",1890,800,42,1990,"Thailand"
"1787","TJK",1890,702,42,1997,"Tajikistan"
"1788","TKM",1890,701,42,1994,"Turkmenistan"
"1789","TLS",1890,NA,NA,NA,"Timor-Leste"
"1790","TTO",1890,52,42,1939,"Trinidad & Tobago"
"1791","TUN",1890,616,42,1960,"Tunisia"
"1792","TUR",1890,640,42,1945,"Turkey"
"1793","TZA",1890,510,42,1997,"Tanzania"
"1794","UGA",1890,500,42,NA,"Uganda"
"1795","UKR",1890,369,42,1912,"Ukraine"
"1796","URY",1890,165,42,1958,"Uruguay"
"1797","USA",1890,2,42,1965,"United States"
"1798","UZB",1890,704,42,1955,"Uzbekistan"
"1799","VEN",1890,101,42,1940,"Venezuela"
"1800","VNM",1890,816,42,1961,"Vietnam"
"1801","YEM",1890,679,42,NA,"Yemen"
"1802","ZAF",1890,560,42,2001,"South Africa"
"1803","ZMB",1890,551,42,1973,"Zambia"
"1804","ZWE",1890,552,42,NA,"Zimbabwe"
"1805","AFG",1891,NA,NA,NA,"Afghanistan"
"1806","AGO",1891,NA,NA,NA,"Angola"
"1807","ALB",1891,339,42,1947,"Albania"
"1808","ARE",1891,NA,NA,NA,"United Arab Emirates"
"1809","ARG",1891,160,42,1934,"Argentina"
"1810","ARM",1891,371,42,1912,"Armenia"
"1811","AUS",1891,900,42,1944,"Australia"
"1812","AUT",1891,305,42,1888,"Austria"
"1813","AZE",1891,373,42,1912,"Azerbaijan"
"1814","BDI",1891,516,42,NA,"Burundi"
"1815","BEL",1891,211,42,1894,"Belgium"
"1816","BEN",1891,434,42,1952,"Benin"
"1817","BFA",1891,439,42,1952,"Burkina Faso"
"1818","BGD",1891,771,42,1939,"Bangladesh"
"1819","BGR",1891,355,42,1918,"Bulgaria"
"1820","BHR",1891,692,42,NA,"Bahrain"
"1821","BIH",1891,NA,NA,NA,"Bosnia & Herzegovina"
"1822","BLR",1891,370,42,1955,"Belarus"
"1823","BOL",1891,145,42,1949,"Bolivia"
"1824","BRA",1891,140,42,1923,"Brazil"
"1825","BTN",1891,NA,NA,NA,"Bhutan"
"1826","BWA",1891,571,42,NA,"Botswana"
"1827","CAF",1891,482,42,1952,"Central African Republic"
"1828","CAN",1891,20,42,1996,"Canada"
"1829","CHE",1891,225,42,1911,"Switzerland"
"1830","CHL",1891,155,42,1924,"Chile"
"1831","CHN",1891,710,42,1951,"China"
"1832","CIV",1891,437,42,1955,"Côte d’Ivoire"
"1833","CMR",1891,471,42,1956,"Cameroon"
"1834","COD",1891,490,42,NA,"Congo - Kinshasa"
"1835","COG",1891,484,42,1956,"Congo - Brazzaville"
"1836","COL",1891,100,42,1938,"Colombia"
"1837","COM",1891,NA,NA,NA,"Comoros"
"1838","CPV",1891,402,42,1976,"Cape Verde"
"1839","CRI",1891,94,42,1941,"Costa Rica"
"1840","CUB",1891,40,42,1934,"Cuba"
"1841","CYP",1891,352,42,1957,"Cyprus"
"1842","CZE",1891,316,42,1888,"Czechia"
"1843","DEU",1891,255,42,1883,"Germany"
"1844","DJI",1891,522,42,1956,"Djibouti"
"1845","DNK",1891,390,42,1892,"Denmark"
"1846","DOM",1891,42,42,1947,"Dominican Republic"
"1847","DZA",1891,615,42,1949,"Algeria"
"1848","ECU",1891,130,42,1935,"Ecuador"
"1849","EGY",1891,651,42,1959,"Egypt"
"1850","ESP",1891,230,42,1929,"Spain"
"1851","EST",1891,366,42,1924,"Estonia"
"1852","ETH",1891,530,42,NA,"Ethiopia"
"1853","FIN",1891,375,42,1963,"Finland"
"1854","FJI",1891,950,42,NA,"Fiji"
"1855","FRA",1891,220,42,1928,"France"
"1856","GAB",1891,481,42,1952,"Gabon"
"1857","GBR",1891,200,42,1911,"United Kingdom"
"1858","GEO",1891,372,42,1964,"Georgia"
"1859","GHA",1891,452,42,2003,"Ghana"
"1860","GIN",1891,438,42,1960,"Guinea"
"1861","GMB",1891,420,42,NA,"Gambia"
"1862","GNB",1891,NA,NA,NA,"Guinea-Bissau"
"1863","GNQ",1891,411,42,1947,"Equatorial Guinea"
"1864","GRC",1891,350,42,1922,"Greece"
"1865","GTM",1891,90,42,1952,"Guatemala"
"1866","GUY",1891,110,42,1969,"Guyana"
"1867","HND",1891,91,42,1959,"Honduras"
"1868","HRV",1891,344,42,1954,"Croatia"
"1869","HTI",1891,41,42,NA,"Haiti"
"1870","HUN",1891,310,42,1891,"Hungary"
"1871","IDN",1891,850,42,1957,"Indonesia"
"1872","IND",1891,750,42,1948,"India"
"1873","IRL",1891,205,42,1911,"Ireland"
"1874","IRN",1891,630,42,1949,"Iran"
"1875","IRQ",1891,NA,NA,NA,"Iraq"
"1876","ISR",1891,666,42,1953,"Israel"
"1877","ITA",1891,325,42,1912,"Italy"
"1878","JAM",1891,51,42,1965,"Jamaica"
"1879","JOR",1891,663,42,1978,"Jordan"
"1880","JPN",1891,740,42,1922,"Japan"
"1881","KAZ",1891,705,42,1999,"Kazakhstan"
"1882","KEN",1891,501,42,1966,"Kenya"
"1883","KGZ",1891,703,42,1922,"Kyrgyzstan"
"1884","KHM",1891,NA,NA,NA,"Cambodia"
"1885","KOR",1891,732,42,1963,"South Korea"
"1886","KWT",1891,690,42,NA,"Kuwait"
"1887","LAO",1891,812,42,1999,"Laos"
"1888","LBN",1891,660,42,1963,"Lebanon"
"1889","LBR",1891,450,42,1943,"Liberia"
"1890","LBY",1891,620,42,1958,"Libya"
"1891","LKA",1891,780,42,NA,"Sri Lanka"
"1892","LSO",1891,570,42,NA,"Lesotho"
"1893","LTU",1891,368,42,1925,"Lithuania"
"1894","LUX",1891,212,42,1901,"Luxembourg"
"1895","LVA",1891,367,42,1924,"Latvia"
"1896","MAR",1891,600,42,1959,"Morocco"
"1897","MDA",1891,359,42,1993,"Moldova"
"1898","MDG",1891,580,42,1952,"Madagascar"
"1899","MEX",1891,70,42,1943,"Mexico"
"1900","MKD",1891,NA,NA,NA,"North Macedonia"
"1901","MLI",1891,432,42,1952,"Mali"
"1902","MMR",1891,775,42,1954,"Myanmar (Burma)"
"1903","MNE",1891,NA,NA,NA,"Montenegro"
"1904","MNG",1891,NA,NA,NA,"Mongolia"
"1905","MOZ",1891,NA,NA,NA,"Mozambique"
"1906","MRT",1891,435,42,1952,"Mauritania"
"1907","MUS",1891,590,42,NA,"Mauritius"
"1908","MWI",1891,553,42,NA,"Malawi"
"1909","MYS",1891,820,42,1951,"Malaysia"
"1910","NAM",1891,565,42,1994,"Namibia"
"1911","NER",1891,436,42,1952,"Niger"
"1912","NGA",1891,475,42,NA,"Nigeria"
"1913","NIC",1891,93,42,1956,"Nicaragua"
"1914","NLD",1891,210,42,1931,"Netherlands"
"1915","NOR",1891,385,42,1909,"Norway"
"1916","NPL",1891,790,42,NA,"Nepal"
